2025-09-17 21:39:02 | Turnos: 89 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 3/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 21:40:37 | Turnos: 41 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 21:42:31 | Turnos: 51 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 21:51:00 | Turnos: 103 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 21:54:56 | Turnos: 71 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 1/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 21:59:26 | Turnos: 87 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 22:01:30 | Turnos: 47 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 22:11:17 | Turnos: 110 | Resultado: Partida não concluída | Profundidade: 5 | Cachorros Capturados: 4/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 22:18:07 | Turnos: 87 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 22:22:24 | Turnos: 79 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 22:27:56 | Turnos: 79 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 22:35:33 | Turnos: 110 | Resultado: Partida não concluída | Profundidade: 5 | Cachorros Capturados: 3/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 22:38:57 | Turnos: 53 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 2/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 22:45:08 | Turnos: 85 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3

===== RESUMO FINAL =====
Vitórias Onça: 50
Vitórias Cachorros: 0
Partidas não concluidas: 50
Falta de Combatividade dos Cachorros: 1
Falta de Combatividade da Onça: 37
========================

